task_id,global_sample_id,split,data_origin,domain,dashboard_id,chart_count,chart_types,instruction_type,num_operations,operations,propagation_scope,instruction,code_exists,pred_image_exists,pred_image_status,render_status,render_returncode,code_executability,code_quality,explicit_relation_label_available,overall_score,low_level_edit_accuracy,high_level_score,relation_conditioned_fidelity,multi_chart_relation_accuracy,relation_scope_f1,relation_scope_accuracy,relation_expected_edit_fidelity,relation_nonaffected_preservation,relation_label_visual_coverage,relation_labeled_endpoint_count,visual_structural_similarity,preservation_accuracy,full_ssim,noop_full_ssim,full_ssim_improvement,full_mse,full_mae,edit_visual_score,noop_edit_mse,pred_edit_mse,preserve_mae,preserve_changed_pixel_rate,affected_chart_f1,affected_chart_precision,affected_chart_recall,reference_affected_cells,predicted_affected_cells,matched_affected_cells,affected_region_similarity,reference_affected_chart_ids_json,predicted_affected_chart_ids_json,relation_edge_consistency,relation_edge_action_accuracy,relation_edge_endpoint_accuracy,relation_edge_check_count,relation_node_fidelities_json,relation_metric_applicable,layout_id,canvas_aspect_score,metric_width,metric_height,target_changed_pixel_rate,operation_count,counterfactual_operation_count,scorable_edit_operation_count,counterfactual_coverage,operation_scores_json,charteditor_full_rarm,charteditor_edit_rarm,charteditor_full_layout,charteditor_full_text,charteditor_edit_layout,charteditor_edit_text
synthetic_sample_920022,synthetic/sample_920022,synthetic,synthetic_relation_augmented_qc,electric_vehicle_market,dashboard_aug_0284,4,donut;step_line;scatter;grouped_bar,multi_chart_relation,2,add_reference_line;preserve_unrelated_charts,relation_augmented,"Add a purple dashed Reference mean line to every related subplot that has a standard numeric y-axis, and do not add it to maps, pies, sankey, radar, treemap, or distribution-only views.",1,1,3564x2368,ok,0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.5394764840602875,1.0,2,0.0,0.6411507689248042,0.40040540133118674,0.9860679657427172,0.0,5060.8583984375,35.100135803222656,0.0,6554.55615234375,10349.88671875,34.86320114135742,0.27918282246440407,0.6666666666666666,0.5,1.0,2,4,2,0.0,"[""chart_2"", ""chart_4""]","[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4""]",0.0,0.0,0.21579059362411498,5,"{""chart_1"": 0.4072454571723938, ""chart_2"": 0.0, ""chart_3"": 0.6717075109481812, ""chart_4"": 0.0}",1,regular_grid,0.7251803456365881,512,369,0.004843114837398374,2,1,1,1.0,"[{""operation_index"": 1, ""operation"": ""add_reference_line"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.004843114837398374, ""counterfactual_noop_mse"": 6554.55615234375, ""prediction_mse"": 10349.88671875}, {""operation_index"": 2, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.6411507689248042, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
synthetic_sample_002646,synthetic/sample_002646,synthetic,synthetic,cultural_events,dashboard_0172,4,area;stacked_bar;waterfall;histogram,multi_step,3,adjust_rolling_window;set_y_scale;preserve_unrelated_charts,relation_or_scope_aware,"In the first subplot, use a 5-point rolling mean. Use a logarithmic y-axis on every chart where the y-axis is numeric. Do not alter charts that are outside the requested scope.",1,0,missing,failed,1,0.0,0.75,0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,[],,,,,,
real_sample_003208,real/sample_003208,real,real,uci,dashboard_0207,6,correlation_heatmap;density;donut;donut;choropleth_map;step_line,multi_step,3,filter_time_range;add_event_marker;preserve_unrelated_charts,relation_or_scope_aware,"Show only 2000 through 2020 in each time-series subplot. Add a red vertical marker at 2008 labeled ""Event 2008"" to every time-series subplot. Keep unrelated panels as they are.",1,0,missing,failed,1,0.0,0.75,0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,[],,,,,,
synthetic_sample_920521,synthetic/sample_920521,synthetic,synthetic_relation_augmented_qc,cybersecurity,dashboard_aug_0367,5,treemap;violin;dual_axis_line_bar;sankey;pie,multi_chart_relation,3,modify_color;preserve_data_values;preserve_unrelated_charts,relation_augmented,"Highlight West in red in the 2 related subplots that show West, but do not change any plotted values or labels in the other subplots.",1,0,missing,failed,1,0.0,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,1,,,,,,,,,,[],,,,,,
synthetic_sample_900177,synthetic/sample_900177,synthetic,synthetic_augmented_qc,research_lab,dashboard_aug_0036,5,strip_plot;box;violin;density;ecdf,single_step,1,rename_label,relation_or_scope_aware,Replace the visible label growth with growth (updated) wherever it appears.,1,1,5371x2869,ok,0,1.0,1.0,0,0.2935080421379377,0.2769016791163458,0.307095066428331,,,,,,,,,0.1083278704472227,0.8705735600199723,0.5948065409495807,0.787907166576697,0.0,852.5491333007812,12.581354141235352,0.2769016791163458,5058.31884765625,3657.661865234375,10.309609413146973,0.115857351222716,1.0,1.0,1.0,5,5,5,0.26535572726012197,"[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4"", ""chart_5""]","[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4"", ""chart_5""]",,,,0,"{""chart_1"": 0.18677357358131813, ""chart_2"": 0.3417675771411832, ""chart_3"": 0.07863095856656252, ""chart_4"": 0.38128083191618956, ""chart_5"": 0.3383256950953563}",0,regular_grid,0.6520236761349179,512,246,0.0691771468495935,1,1,1,1.0,"[{""operation_index"": 1, ""operation"": ""rename_label"", ""score"": 0.2769016791163458, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0691771468495935, ""counterfactual_noop_mse"": 5058.31884765625, ""prediction_mse"": 3657.661865234375}]",,,,,,
synthetic_sample_910761,synthetic/sample_910761,synthetic,synthetic_augmented_qc,manufacturing_quality,dashboard_aug_0273,6,waterfall;sankey;stacked_horizontal_bar;multi_line;bubble;correlation_heatmap,single_step,1,delete_category_or_series,relation_or_scope_aware,Remove the visible category or series West from the dashboard wherever it is plotted.,1,1,5367x2970,ok,0,1.0,1.0,0,0.28427352634242703,0.3182902598009454,0.25644165351273013,,,,,,,,,0.10810359394369509,0.6083268766309002,0.3329513653652663,0.799795046992329,0.0,5378.419921875,38.75545120239258,0.3182902598009454,18098.44140625,12337.8837890625,34.63486099243164,0.327603160667252,0.6666666666666666,0.5,1.0,3,6,3,0.3421339842112739,"[""chart_1"", ""chart_3"", ""chart_4""]","[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4"", ""chart_5"", ""chart_6""]",,,,0,"{""chart_1"": 0.22589189792120418, ""chart_2"": 0.7655582427978516, ""chart_3"": 0.31386453108501183, ""chart_4"": 0.48664552362760566, ""chart_5"": 0.6946038603782654, ""chart_6"": 0.04328465461730957}",0,regular_grid,0.5660639966975515,512,246,0.09568724593495935,1,1,1,1.0,"[{""operation_index"": 1, ""operation"": ""delete_category_or_series"", ""score"": 0.3182902598009454, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 0.0, ""changed_pixel_rate"": 0.09568724593495935, ""counterfactual_noop_mse"": 18098.44140625, ""prediction_mse"": 12337.8837890625}]",,,,,,
synthetic_sample_900192,synthetic/sample_900192,synthetic,synthetic_augmented_qc,financial_risk,dashboard_aug_0039,6,gantt;line;step_line;area;funnel;multi_line,single_step,1,rename_label,relation_or_scope_aware,Replace the visible label South with South (updated) wherever it appears.,1,1,5369x2968,ok,0,1.0,1.0,0,0.22711173502829718,0.22571208809323795,0.22825690070243654,,,,,,,,,0.07698197481030726,0.6767975600348726,0.28382474758258147,0.6345537062926808,0.0,3445.07421875,31.864511489868164,0.22571208809323795,8388.484375,6495.10205078125,26.97447395324707,0.2810851332989739,1.0,1.0,1.0,6,6,6,0.21318413013008297,"[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4"", ""chart_5"", ""chart_6""]","[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4"", ""chart_5"", ""chart_6""]",,,,0,"{""chart_1"": 0.27588283739474456, ""chart_2"": 0.33490241097826234, ""chart_3"": 0.18999627645307324, ""chart_4"": 0.33751149981468925, ""chart_5"": 0.14081175613972832, ""chart_6"": 0.0}",0,regular_grid,0.5684378379305592,512,246,0.15273278709349594,1,1,1,1.0,"[{""operation_index"": 1, ""operation"": ""rename_label"", ""score"": 0.22571208809323795, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.15273278709349594, ""counterfactual_noop_mse"": 8388.484375, ""prediction_mse"": 6495.10205078125}]",,,,,,
synthetic_sample_910424,synthetic/sample_910424,synthetic,synthetic_augmented_qc,labor_market,dashboard_aug_0205,7,stacked_area;bubble;choropleth_map;heatmap;contour_density;radar;waterfall,single_step,1,delete_category_or_series,relation_or_scope_aware,Remove the visible category or series priority from the dashboard wherever it is plotted.,1,0,missing,failed,1,0.0,0.75,0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,[],,,,,,
synthetic_sample_900205,synthetic/sample_900205,synthetic,synthetic_augmented_qc,housing_market,dashboard_aug_0041,7,scatter;bubble;proportional_bar;lollipop;dot_plot;waterfall;stacked_horizontal_bar,single_step,1,rename_label,relation_or_scope_aware,Replace the visible label Metro with Metro (updated) wherever it appears.,1,0,missing,failed,1,0.0,0.75,0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,[],,,,,,
synthetic_sample_910467,synthetic/sample_910467,synthetic,synthetic_augmented_qc,marine_shipping,dashboard_aug_0214,7,waterfall;radar;contour_density;ecdf;heatmap;step_line;box,single_step,1,delete_category_or_series,relation_or_scope_aware,Remove the visible category or series North from the dashboard wherever it is plotted.,1,0,missing,failed,1,0.0,0.75,0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,[],,,,,,
synthetic_sample_920348,synthetic/sample_920348,synthetic,synthetic_relation_augmented_qc,water_infrastructure,dashboard_aug_0338,6,lollipop;sankey;box;waterfall;area;line,complex_relation,5,modify_style;change_axis_label;change_axis_label;change_axis_label;change_axis_label,relation_augmented,"Make the dashboard easier to compare: use dark blue subplot titles with light dashed gridlines, and rename the y-axis to ""Comparable value"" on the related numeric subplots.",1,1,5367x2968,ok,0,1.0,1.0,1,0.08868236975677506,0.019584283975774615,0.1258890313311599,0.047372648456307224,0.047372648456307224,1.0,0.07895441409384538,0.009792141987887307,0.6366124503314495,1.0,10,0.0,0.669080101110021,0.3678945989906342,0.9889076646002218,0.0,2301.56298828125,24.538909912109375,0.0,2753.331787109375,6164.31787109375,24.110239028930664,0.3112902192026663,1.0,1.0,1.0,6,6,6,0.0,"[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4"", ""chart_5"", ""chart_6""]","[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4"", ""chart_5"", ""chart_6""]",0.0,0.0,0.0,15,"{""chart_1"": 0.0, ""chart_2"": 0.0, ""chart_3"": 0.0, ""chart_4"": 0.0, ""chart_5"": 0.0, ""chart_6"": 0.0}",1,regular_grid,0.5675913185867476,512,246,0.009019308943089431,5,5,5,1.0,"[{""operation_index"": 1, ""operation"": ""modify_style"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.004993965955284553, ""counterfactual_noop_mse"": 417.9454040527344, ""prediction_mse"": 6057.8134765625}, {""operation_index"": 2, ""operation"": ""change_axis_label"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0009606834349593496, ""counterfactual_noop_mse"": 5966.677734375, ""prediction_mse"": 7225.65576171875}, {""operation_index"": 3, ""operation"": ""change_axis_label"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0010241996951219513, ""counterfactual_noop_mse"": 5577.4599609375, ""prediction_mse"": 6335.38525390625}, {""operation_index"": 4, ""operation"": ""change_axis_label"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0010241996951219513, ""counterfactual_noop_mse"": 5549.48583984375, ""prediction_mse"": 6685.75732421875}, {""operation_index"": 5, ""operation"": ""change_axis_label"", ""score"": 0.09792141987887308, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0010162601626016261, ""counterfactual_noop_mse"": 5527.76025390625, ""prediction_mse"": 4986.47412109375}]",,,,,,
